Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1766508113,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766508114,110,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766508115,220,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766508116,330,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766508117,440,,Aggregated,0.000000,0.000000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,3,0,3973.179848999962,3952.232321333289,3925.8137479998823,3973.179848999962,86441.0
1766508118,550,,Aggregated,0.000000,0.000000,4300,4400,4400,4400,4500,4600,4700,4700,4800,4800,4800,105,0,4300.0,4313.930147923808,3925.8137479998823,4825.910410000006,84354.53333333334
1766508119,660,,Aggregated,0.000000,0.000000,4300,4400,4400,4400,4500,4600,4700,4800,5900,5900,5900,106,0,4300.0,4328.571008801887,3925.8137479998823,5865.861401000075,84374.2641509434
1766508120,770,,Aggregated,0.000000,0.000000,4300,4400,4400,4500,4600,4700,5900,6000,6100,6100,6100,108,0,4300.0,4360.531803462963,3925.8137479998823,6070.0350269999035,84412.62962962964
1766508121,880,,Aggregated,17.500000,0.000000,4300,4400,4400,4500,4700,6100,6800,7400,7500,7500,7500,114,0,4300.0,4489.966133149122,3925.8137479998823,7485.572415999968,84352.26315789473
1766508122,990,,Aggregated,15.428571,0.000000,4400,4400,4500,4600,6800,7500,7700,7800,8000,8000,8000,124,0,4400.0,4739.475704790324,3925.8137479998823,7991.67681799986,84287.23387096774
1766508123,1100,,Aggregated,15.428571,0.000000,4400,4400,4500,4600,6800,7500,7700,7800,8000,8000,8000,124,0,4400.0,4739.475704790324,3925.8137479998823,7991.67681799986,84287.23387096774
1766508124,1100,,Aggregated,13.555556,0.000000,8300,9300,9300,9300,9300,9300,9300,9600,9600,9600,9600,252,0,8300.0,6955.4903014523825,3925.8137479998823,9599.566535999884,83793.1746031746
1766508125,1100,,Aggregated,12.400000,0.000000,8300,9300,9300,9300,9300,9300,9500,9600,9900,9900,9900,258,0,8300.0,7014.7864145581425,3925.8137479998823,9921.981904000177,83743.92635658915
1766508126,1100,,Aggregated,24.500000,0.000000,8300,9300,9300,9300,9300,9300,9600,9900,11000,11000,11000,260,0,8300.0,7043.9501347192345,3925.8137479998823,10965.666097999929,83764.71153846153
1766508127,1100,,Aggregated,25.600000,0.000000,8300,9300,9300,9300,9300,9600,11000,12000,12000,12000,12000,267,0,8300.0,7163.7050390149825,3925.8137479998823,12006.38530099991,83835.00749063671
1766508128,1100,,Aggregated,25.900000,0.000000,9200,9300,9300,9300,12000,13000,13000,13000,13000,13000,13000,312,0,9100.0,7942.182077474355,3925.8137479998823,13090.913171000011,83936.04807692308
1766508129,1100,,Aggregated,26.400000,0.000000,9300,9500,12000,13000,13000,13000,14000,14000,14000,14000,14000,383,0,9300.0,8893.620526046992,3925.8137479998823,14051.321086000144,83902.50391644909
1766508130,1100,,Aggregated,17.700000,0.000000,9300,12000,13000,13000,13000,14000,14000,14000,14000,14000,14000,403,0,9300.0,9123.699871198505,3925.8137479998823,14051.321086000144,83909.85607940446
1766508131,1100,,Aggregated,25.400000,0.000000,9300,12000,13000,13000,13000,14000,14000,14000,15000,15000,15000,408,0,9300.0,9191.13076886764,3925.8137479998823,15070.593815999928,83940.9362745098
1766508132,1100,,Aggregated,29.100000,0.000000,9300,12000,13000,13000,13000,14000,14000,14000,16000,16000,16000,410,0,9300.0,9222.757454619505,3925.8137479998823,15872.722267999961,83953.15609756098
